Date,Heure,kWh,AvgTemp,Season,Screens Plug
2019-06-04,18,3.45,11,Spring,No
2019-06-04,19,2.59,10,Spring,No
2019-06-04,20,0.91,9,Spring,No
2019-06-04,21,1.05,8,Spring,No
2019-06-04,22,0.81,8,Spring,No
2019-06-04,23,0.45,8,Spring,No
2019-06-05,00,0.35,9,Spring,No
2019-06-05,01,0.32,9,Spring,No
2019-06-05,02,0.68,9,Spring,No
2019-06-05,03,0.42,8,Spring,No
2019-06-05,04,0.34,9,Spring,No
2019-06-05,05,1.63,9,Spring,No
2019-06-05,06,5.39,9,Spring,No
2019-06-05,07,0.63,10,Spring,No
2019-06-05,08,0.89,11,Spring,No
2019-06-05,09,0.58,13,Spring,No
2019-06-05,10,0.57,15,Spring,No
2019-06-05,11,0.81,17,Spring,No
2019-06-05,12,0.52,18,Spring,No
2019-06-05,13,0.61,18,Spring,No
2019-06-05,14,0.89,19,Spring,No
2019-06-05,15,0.5,19,Spring,No
2019-06-05,16,2.97,19,Spring,No
2019-06-05,17,5.53,18,Spring,No
2019-06-05,18,2.48,17,Spring,No
2019-06-05,19,1.34,15,Spring,No
2019-06-05,20,1.09,12,Spring,No
2019-06-05,21,2,11,Spring,No
2019-06-05,22,1.26,11,Spring,No
2019-06-05,23,1.38,9,Spring,No
2019-06-06,00,1.43,8,Spring,No
2019-06-06,01,1,7,Spring,No
2019-06-06,02,0.35,6,Spring,No
2019-06-06,03,0.35,7,Spring,No
2019-06-06,04,0.48,9,Spring,No
2019-06-06,05,0.99,12,Spring,No
2019-06-06,06,1.05,13,Spring,No
2019-06-06,07,0.53,15,Spring,No
2019-06-06,08,2.82,17,Spring,No
2019-06-06,09,0.48,18,Spring,No
2019-06-06,10,0.78,19,Spring,No
2019-06-06,11,0.45,21,Spring,No
2019-06-06,12,0.79,21,Spring,No
2019-06-06,13,0.55,22,Spring,No
2019-06-06,14,0.92,22,Spring,No
2019-06-06,15,1.07,21,Spring,No
2019-06-06,16,1.71,20,Spring,No
2019-06-06,17,2.26,21,Spring,No
2019-06-06,18,1.14,17,Spring,No
2019-06-06,19,0.86,15,Spring,No
2019-06-06,20,1.22,12,Spring,No
2019-06-06,21,1.34,11,Spring,No
2019-06-06,22,0.78,10,Spring,No
2019-06-06,23,1.04,9,Spring,No
2019-06-07,00,1.37,8,Spring,No
2019-06-07,01,0.32,8,Spring,No
2019-06-07,02,0.26,8,Spring,No
2019-06-07,03,0.26,8,Spring,No
2019-06-07,04,0.68,8,Spring,No
2019-06-07,05,0.27,10,Spring,No
2019-06-07,06,0.23,12,Spring,No
